date,SO2
2022-12-31,0.000149
2023-01-01,0.000149
2023-01-02,0.000149
2023-01-03,0.000149
2023-01-04,-0.0001400259934598
2023-01-05,2.7671419957187027e-05
2023-01-06,0.000149
2023-01-07,-0.0002110133355017
2023-01-08,0.000408587482525
2023-01-09,0.000149
2023-01-10,0.000149
2023-01-11,0.0005774709279648
2023-01-12,0.000149
2023-01-13,0.000149
2023-01-14,0.000149
2023-01-15,-0.0002584079920779
2023-01-16,4.284841998014599e-05
2023-01-17,0.000149
2023-01-18,-9.085416968446224e-05
2023-01-19,0.000149
2023-01-20,0.000149
2023-01-21,0.000149
2023-01-22,0.000149
2023-01-23,0.0001054032036336
2023-01-24,0.0003469530493021
2023-01-25,0.000149
2023-01-26,0.000149
2023-01-27,0.000149
2023-01-28,0.000149
2023-01-29,3.3842505217762664e-05
2023-01-30,0.000149
2023-01-31,0.0002700207405723
2023-02-01,0.000149
2023-02-02,0.000149
2023-02-03,0.000149
2023-02-04,0.000149
2023-02-05,0.000149
2023-02-06,0.000149
2023-02-07,0.000149
2023-02-08,0.000149
2023-02-09,0.000149
2023-02-10,0.000149
2023-02-11,0.000149
2023-02-12,0.000149
2023-02-13,0.000149
2023-02-14,0.0005007549189031
2023-02-15,0.000149
2023-02-16,0.000149
2023-02-17,0.000149
2023-02-18,0.000149
2023-02-19,-9.311354369856416e-05
2023-02-20,0.0001067550401785
2023-02-21,-0.0001398687891196
2023-02-22,0.000149
2023-02-23,0.000149
2023-02-24,-0.0002150435902876
2023-02-25,0.000149
2023-02-26,0.000149
2023-02-27,0.000149
2023-02-28,0.000149
2023-03-01,0.000149
2023-03-02,0.000149
2023-03-03,0.000149
2023-03-04,0.000149
2023-03-05,0.000149
2023-03-06,0.0002167335478588
2023-03-07,0.000500408525113
2023-03-08,-5.1434994929877575e-06
2023-03-09,0.000149
2023-03-10,0.000149
2023-03-11,3.5730376112041995e-05
2023-03-12,0.000149
2023-03-13,0.000149
2023-03-14,0.000149
2023-03-15,-0.0002117568510584
2023-03-16,0.000149
2023-03-17,0.0002447711885906
2023-03-18,0.0002525705785956
2023-03-19,0.000149
2023-03-20,0.000149
2023-03-21,0.000149
2023-03-22,0.000122398007079
2023-03-23,0.000149
2023-03-24,4.2923835280817e-05
2023-03-25,0.000149
2023-03-26,0.000149
2023-03-27,0.000149
2023-03-28,0.000149
2023-03-29,0.000149
2023-03-30,0.000149
