date;NO2;CO;HCHO;SO2;O3;CH4
2025-08-23 00:00:00+00:00;;;;;;
2025-08-24 00:00:00+00:00;"4,03E+10";0.0357882487773895;0.0002168564037674514;0.00028706747730211646;0.116272848663908;1.883.025.390.625
2025-08-25 00:00:00+00:00;"4,91E+10";0.0322554917633533;0.00024330982837868348;0.0005618075647913483;0.1167456412857229;
2025-08-26 00:00:00+00:00;"5,96E+10";0.0353587754070758;0.00023322685239801297;0.00013639082736159307;0.1159520307273575;
2025-08-27 00:00:00+00:00;"4,25E+10";0.0356393416970968;0.00021907180849839715;0.0002722509251768878;0.1160669493855852;
2025-08-28 00:00:00+00:00;"3,68E+11";0.02872855834929;0.00020156530514387196;"-2,56E+09";0.1160918668364033;
2025-08-29 00:00:00+00:00;"1,93E+10";0.0257774070836603;"8,05E+10";0.00015120934455938238;0.1138266399502754;18.596.929.931.640.600
2025-08-30 00:00:00+00:00;"3,55E+10";0.0263121396096216;0.00010421157069438117;"8,11E+10";0.1154179737874955;1.880.842.529.296.870
2025-08-31 00:00:00+00:00;"1,80E+11";0.0240619066171348;"9,03E+10";"6,32E+10";0.116412545243899;
2025-09-01 00:00:00+00:00;"1,97E+10";0.0270642982079432;0.00011043075425153472;0.00014503455917513224;0.1155951084061102;
2025-09-02 00:00:00+00:00;"8,71E+09";0.0244947917138536;"4,35E+10";"1,40E+10";0.1146621591213977;1.871.575.667.842.740
2025-09-03 00:00:00+00:00;"2,16E+10";0.0231728682007927;"4,79E+10";"9,21E+10";0.1136881812955394;18.932.257.967.862.200
2025-09-04 00:00:00+00:00;"1,96E+11";0.0267197266221046;0.00011632590989200142;"6,41E+09";0.1139314073053273;18.618.680.377.828.600
2025-09-05 00:00:00+00:00;"3,37E+10";0.0358421589163216;0.0001693543114621813;0.0002509594888772082;0.1140824676011547;
2025-09-06 00:00:00+00:00;"2,87E+11";0.0308748816698789;"6,04E+10";0.00012438627003575676;0.1128657830483985;
2025-09-07 00:00:00+00:00;"5,87E+10";0.0377115744420073;0.0001999040779826993;0.00012350290310016797;0.1133904145522551;
2025-09-08 00:00:00+00:00;"6,39E+10";0.0386617854237556;0.0001836173100855376;0.00016694419851277914;0.1126926121386614;
2025-09-09 00:00:00+00:00;"3,90E+10";0.0301116623369784;0.0001178790182705227;"8,10E+10";0.1149856890692855;
2025-09-10 00:00:00+00:00;"3,42E+11";0.0261382171108076;0.00016024528882349715;0.0001254662966967489;0.1164095024719382;
2025-09-11 00:00:00+00:00;"2,74E+11";0.0264959925164779;"9,96E+10";"-3,72E+10";0.1159960735927928;
2025-09-12 00:00:00+00:00;"3,07E+11";0.0297970209991739;0.00015404000240585336;0.0001175753698617248;0.1148213197787602;
2025-09-13 00:00:00+00:00;"3,54E+11";0.029879438935926;0.00016394412391078234;0.0001290820170349131;0.1160340943571293;1.880.800.580.705.910
2025-09-14 00:00:00+00:00;"3,37E+11";0.0288704546401277;0.0002200073867050268;0.0002794845346546605;0.1163583759105566;
2025-09-15 00:00:00+00:00;"4,50E+10";0.0308174571643273;0.00015062940532328052;"9,18E+09";0.1160356284994067;
2025-09-16 00:00:00+00:00;"4,81E+10";0.0287467721583587;0.00034143522341388425;"-2,43E+11";0.1162316257303411;
2025-09-17 00:00:00+00:00;"5,67E+10";0.0349980179220438;0.00020722547704001324;0.00023777417822123465;0.115765812270569;
2025-09-18 00:00:00+00:00;"2,69E+11";0.0275344337026278;0.0001265953502661432;"3,71E+11";0.1135180901848908;
2025-09-19 00:00:00+00:00;"2,11E+11";0.0251723253168165;0.00011520951143624684;"6,22E+10";0.1131669474822102;1.894.922.418.767.750
2025-09-20 00:00:00+00:00;"2,52E+11";0.0255600169507993;;;;18.974.864.501.953.100
2025-09-21 00:00:00+00:00;"3,07E+11";0.0301025353837758;0.00012335312269649214;"-1,73E+11";0.114176169263594;1.759.156.997.680.660
2025-09-22 00:00:00+00:00;"2,69E+10";0.0276656801541966;0.00013968595565970509;0.00038927850586002353;0.1140659853364482;
