date,feature_index,CH4
2025-12-04T00:00:00.000Z,0,
2025-12-05T00:00:00.000Z,0,
2025-12-02T00:00:00.000Z,0,
2025-12-06T00:00:00.000Z,0,
2025-12-09T00:00:00.000Z,0,
2025-12-08T00:00:00.000Z,0,
2025-12-03T00:00:00.000Z,0,
2025-12-07T00:00:00.000Z,0,
2025-12-15T00:00:00.000Z,0,
2025-12-10T00:00:00.000Z,0,
2025-12-16T00:00:00.000Z,0,
2025-12-17T00:00:00.000Z,0,
2025-12-12T00:00:00.000Z,0,
2025-12-13T00:00:00.000Z,0,
2025-12-11T00:00:00.000Z,0,
2025-12-14T00:00:00.000Z,0,
2026-06-06T00:00:00.000Z,0,1873.1217447916667
2026-06-11T00:00:00.000Z,0,1904.9500140565815
2026-06-05T00:00:00.000Z,0,1893.3419189453125
2026-06-07T00:00:00.000Z,0,1854.2599191973286
2026-06-10T00:00:00.000Z,0,
2026-06-09T00:00:00.000Z,0,1871.686466217041
2026-06-08T00:00:00.000Z,0,1917.7551792689733
2026-06-04T00:00:00.000Z,0,
2026-01-23T00:00:00.000Z,0,
2026-01-25T00:00:00.000Z,0,
2026-01-19T00:00:00.000Z,0,
2026-01-21T00:00:00.000Z,0,
2026-01-22T00:00:00.000Z,0,
2026-01-26T00:00:00.000Z,0,
2026-01-20T00:00:00.000Z,0,
2026-01-24T00:00:00.000Z,0,
2026-05-21T00:00:00.000Z,0,1874.78623046875
2026-05-19T00:00:00.000Z,0,
2026-05-23T00:00:00.000Z,0,
2026-05-25T00:00:00.000Z,0,
2026-05-26T00:00:00.000Z,0,
2026-05-20T00:00:00.000Z,0,
2026-05-22T00:00:00.000Z,0,
2026-05-24T00:00:00.000Z,0,
2026-07-31T00:00:00.000Z,0,1876.0671712239584
2026-08-01T00:00:00.000Z,0,1902.1657307942708
2026-08-06T00:00:00.000Z,0,
2026-07-30T00:00:00.000Z,0,1901.2872924804688
2026-08-04T00:00:00.000Z,0,
2026-08-05T00:00:00.000Z,0,1900.723892211914
2026-08-02T00:00:00.000Z,0,
2026-08-03T00:00:00.000Z,0,1884.3658311631943
2025-10-27T00:00:00.000Z,0,
2025-10-23T00:00:00.000Z,0,
2025-10-29T00:00:00.000Z,0,
2025-10-26T00:00:00.000Z,0,
2025-10-28T00:00:00.000Z,0,
2025-10-30T00:00:00.000Z,0,
2025-10-25T00:00:00.000Z,0,
2025-10-24T00:00:00.000Z,0,
2026-03-08T00:00:00.000Z,0,
2026-03-09T00:00:00.000Z,0,
2026-03-12T00:00:00.000Z,0,
2026-03-10T00:00:00.000Z,0,
2026-03-13T00:00:00.000Z,0,
2026-03-15T00:00:00.000Z,0,
2026-03-11T00:00:00.000Z,0,
2026-03-14T00:00:00.000Z,0,
2026-05-15T00:00:00.000Z,0,
2026-05-17T00:00:00.000Z,0,
2026-05-11T00:00:00.000Z,0,1889.9363752092634
2026-05-16T00:00:00.000Z,0,
2026-05-18T00:00:00.000Z,0,
2026-05-12T00:00:00.000Z,0,1866.3578106915509
2026-05-14T00:00:00.000Z,0,
2026-05-13T00:00:00.000Z,0,1882.6577845982142
2025-11-10T00:00:00.000Z,0,
2025-11-14T00:00:00.000Z,0,
2025-11-12T00:00:00.000Z,0,
2025-11-08T00:00:00.000Z,0,
2025-11-09T00:00:00.000Z,0,
2025-11-13T00:00:00.000Z,0,
2025-11-11T00:00:00.000Z,0,
2025-11-15T00:00:00.000Z,0,
2025-09-30T00:00:00.000Z,0,
2025-10-01T00:00:00.000Z,0,
2025-10-02T00:00:00.000Z,0,
2025-10-06T00:00:00.000Z,0,
2025-10-04T00:00:00.000Z,0,1879.4046020507812
2025-10-03T00:00:00.000Z,0,
2025-10-05T00:00:00.000Z,0,
2025-09-29T00:00:00.000Z,0,
2026-07-02T00:00:00.000Z,0,1884.1946833683894
2026-07-04T00:00:00.000Z,0,1910.4328741776317
2026-07-03T00:00:00.000Z,0,1911.5058677936422
2026-07-01T00:00:00.000Z,0,
2026-06-29T00:00:00.000Z,0,1913.1000848067433
2026-06-30T00:00:00.000Z,0,1925.6244506835938
2026-07-05T00:00:00.000Z,0,1899.940450032552
2026-06-28T00:00:00.000Z,0,1908.7770690917969
2025-12-19T00:00:00.000Z,0,
2025-12-23T00:00:00.000Z,0,
2025-12-18T00:00:00.000Z,0,
2025-12-25T00:00:00.000Z,0,
2025-12-21T00:00:00.000Z,0,
2025-12-24T00:00:00.000Z,0,
2025-12-20T00:00:00.000Z,0,
2025-12-22T00:00:00.000Z,0,
2026-07-09T00:00:00.000Z,0,1899.7839226973683
2026-07-10T00:00:00.000Z,0,1906.983787536621
2026-07-07T00:00:00.000Z,0,
2026-07-08T00:00:00.000Z,0,1891.8780364990234
2026-07-11T00:00:00.000Z,0,
2026-07-13T00:00:00.000Z,0,1904.647216796875
2026-07-06T00:00:00.000Z,0,1895.825439453125
2026-07-12T00:00:00.000Z,0,
2026-04-06T00:00:00.000Z,0,
2026-04-02T00:00:00.000Z,0,
2026-04-05T00:00:00.000Z,0,1900.2360704210068
2026-04-04T00:00:00.000Z,0,
2026-04-08T00:00:00.000Z,0,
2026-04-01T00:00:00.000Z,0,
2026-04-03T00:00:00.000Z,0,
2026-04-07T00:00:00.000Z,0,
2025-10-11T00:00:00.000Z,0,
2025-10-12T00:00:00.000Z,0,
2025-10-14T00:00:00.000Z,0,1864.9695909288193
2025-10-09T00:00:00.000Z,0,
2025-10-13T00:00:00.000Z,0,
2025-10-10T00:00:00.000Z,0,1893.6498006184895
2025-10-07T00:00:00.000Z,0,1733.66064453125
2025-10-08T00:00:00.000Z,0,
2025-11-06T00:00:00.000Z,0,
2025-11-03T00:00:00.000Z,0,
2025-11-05T00:00:00.000Z,0,
2025-10-31T00:00:00.000Z,0,
2025-11-02T00:00:00.000Z,0,
2025-11-04T00:00:00.000Z,0,
2025-11-07T00:00:00.000Z,0,
2025-11-01T00:00:00.000Z,0,
2026-06-13T00:00:00.000Z,0,
2026-06-16T00:00:00.000Z,0,1869.3224931196733
2026-06-15T00:00:00.000Z,0,
2026-06-19T00:00:00.000Z,0,1903.8515625
2026-06-18T00:00:00.000Z,0,1908.4969177246094
2026-06-14T00:00:00.000Z,0,1909.074741908482
2026-06-17T00:00:00.000Z,0,1896.6046709333148
2026-06-12T00:00:00.000Z,0,
2025-09-25T00:00:00.000Z,0,1867.250752766927
2025-09-27T00:00:00.000Z,0,
2025-09-23T00:00:00.000Z,0,1830.9173583984375
2025-09-24T00:00:00.000Z,0,1792.5723266601562
2025-09-21T00:00:00.000Z,0,1759.156997680664
2025-09-22T00:00:00.000Z,0,
2025-09-28T00:00:00.000Z,0,1839.7042083740234
2025-09-26T00:00:00.000Z,0,1882.959285960478
2026-07-21T00:00:00.000Z,0,
2026-07-15T00:00:00.000Z,0,
2026-07-20T00:00:00.000Z,0,
2026-07-17T00:00:00.000Z,0,
2026-07-16T00:00:00.000Z,0,
2026-07-14T00:00:00.000Z,0,
2026-07-19T00:00:00.000Z,0,
2026-07-18T00:00:00.000Z,0,
2026-04-16T00:00:00.000Z,0,1882.0093566894532
2026-04-13T00:00:00.000Z,0,
2026-04-15T00:00:00.000Z,0,1868.6885933254075
2026-04-12T00:00:00.000Z,0,
2026-04-10T00:00:00.000Z,0,
2026-04-11T00:00:00.000Z,0,
2026-04-09T00:00:00.000Z,0,
2026-04-14T00:00:00.000Z,0,1884.7133040889616
2026-05-08T00:00:00.000Z,0,
2026-05-06T00:00:00.000Z,0,1871.896834309896
2026-05-10T00:00:00.000Z,0,
2026-05-03T00:00:00.000Z,0,
2026-05-07T00:00:00.000Z,0,1895.8299255371094
2026-05-09T00:00:00.000Z,0,
2026-05-04T00:00:00.000Z,0,
2026-05-05T00:00:00.000Z,0,
2025-09-20T00:00:00.000Z,0,1897.4864501953125
2025-09-16T00:00:00.000Z,0,
2025-09-18T00:00:00.000Z,0,
2025-09-15T00:00:00.000Z,0,
2025-09-14T00:00:00.000Z,0,
2025-09-19T00:00:00.000Z,0,1894.9224187677557
2025-09-13T00:00:00.000Z,0,1880.800580705915
2025-09-17T00:00:00.000Z,0,
2026-02-03T00:00:00.000Z,0,
2026-02-01T00:00:00.000Z,0,
2026-01-31T00:00:00.000Z,0,
2026-01-28T00:00:00.000Z,0,
2026-01-29T00:00:00.000Z,0,
2026-02-02T00:00:00.000Z,0,
2026-01-27T00:00:00.000Z,0,
2026-01-30T00:00:00.000Z,0,
2026-06-03T00:00:00.000Z,0,
2026-05-29T00:00:00.000Z,0,1897.7071533203125
2026-06-02T00:00:00.000Z,0,
2026-06-01T00:00:00.000Z,0,
2026-05-30T00:00:00.000Z,0,
2026-05-28T00:00:00.000Z,0,
2026-05-27T00:00:00.000Z,0,
2026-05-31T00:00:00.000Z,0,1720.1980387369792
2025-10-18T00:00:00.000Z,0,
2025-10-19T00:00:00.000Z,0,
2025-10-22T00:00:00.000Z,0,
2025-10-16T00:00:00.000Z,0,1902.252296447754
2025-10-20T00:00:00.000Z,0,
2025-10-15T00:00:00.000Z,0,1880.3540174696182
2025-10-21T00:00:00.000Z,0,
2025-10-17T00:00:00.000Z,0,1864.4217348451969
2026-02-04T00:00:00.000Z,0,
2026-02-05T00:00:00.000Z,0,
2026-02-11T00:00:00.000Z,0,
2026-02-06T00:00:00.000Z,0,
2026-02-09T00:00:00.000Z,0,
2026-02-07T00:00:00.000Z,0,
2026-02-08T00:00:00.000Z,0,
2026-02-10T00:00:00.000Z,0,
2026-06-22T00:00:00.000Z,0,1892.066267903646
2026-06-26T00:00:00.000Z,0,
2026-06-20T00:00:00.000Z,0,
2026-06-21T00:00:00.000Z,0,
2026-06-27T00:00:00.000Z,0,1887.6141135475852
2026-06-23T00:00:00.000Z,0,1848.0618286132812
2026-06-24T00:00:00.000Z,0,
2026-06-25T00:00:00.000Z,0,1890.6113891601562
2025-08-25T00:00:00.000Z,0,
2025-08-26T00:00:00.000Z,0,
2025-08-27T00:00:00.000Z,0,
2025-08-24T00:00:00.000Z,0,1883.025390625
2025-08-23T00:00:00.000Z,0,
2025-11-20T00:00:00.000Z,0,
2025-11-19T00:00:00.000Z,0,
2025-11-17T00:00:00.000Z,0,
2025-11-22T00:00:00.000Z,0,
2025-11-23T00:00:00.000Z,0,
2025-11-18T00:00:00.000Z,0,
2025-11-21T00:00:00.000Z,0,
2025-11-16T00:00:00.000Z,0,
2026-04-21T00:00:00.000Z,0,1780.6275634765625
2026-04-20T00:00:00.000Z,0,
2026-04-19T00:00:00.000Z,0,
2026-04-22T00:00:00.000Z,0,
2026-04-18T00:00:00.000Z,0,
2026-04-17T00:00:00.000Z,0,1816.4040283203126
2026-04-24T00:00:00.000Z,0,
2026-04-23T00:00:00.000Z,0,
2026-08-16T00:00:00.000Z,0,1901.605581778067
2026-08-21T00:00:00.000Z,0,1874.5493718927557
2026-08-18T00:00:00.000Z,0,
2026-08-15T00:00:00.000Z,0,1853.5500183105469
2026-08-19T00:00:00.000Z,0,1887.065205891927
2026-08-22T00:00:00.000Z,0,1888.4122032752405
2026-08-17T00:00:00.000Z,0,1907.153253173828
2026-08-20T00:00:00.000Z,0,1892.2184940461188
2026-01-01T00:00:00.000Z,0,
2025-12-29T00:00:00.000Z,0,
2026-01-02T00:00:00.000Z,0,
2025-12-28T00:00:00.000Z,0,
2025-12-30T00:00:00.000Z,0,
2025-12-31T00:00:00.000Z,0,
2025-12-26T00:00:00.000Z,0,
2025-12-27T00:00:00.000Z,0,
2026-01-03T00:00:00.000Z,0,
2026-01-04T00:00:00.000Z,0,
2026-01-06T00:00:00.000Z,0,
2026-01-10T00:00:00.000Z,0,
2026-01-07T00:00:00.000Z,0,
2026-01-08T00:00:00.000Z,0,
2026-01-05T00:00:00.000Z,0,
2026-01-09T00:00:00.000Z,0,
2026-03-03T00:00:00.000Z,0,
2026-03-05T00:00:00.000Z,0,
2026-03-06T00:00:00.000Z,0,
2026-03-02T00:00:00.000Z,0,
2026-03-01T00:00:00.000Z,0,
2026-03-04T00:00:00.000Z,0,
2026-02-28T00:00:00.000Z,0,
2026-03-07T00:00:00.000Z,0,
2026-08-10T00:00:00.000Z,0,
2026-08-07T00:00:00.000Z,0,
2026-08-09T00:00:00.000Z,0,1916.5458984375
2026-08-08T00:00:00.000Z,0,
2026-08-13T00:00:00.000Z,0,
2026-08-12T00:00:00.000Z,0,1913.2594953264509
2026-08-11T00:00:00.000Z,0,
2026-08-14T00:00:00.000Z,0,1831.685511997768
2025-09-03T00:00:00.000Z,0,1893.2257967862215
2025-09-04T00:00:00.000Z,0,1861.8680377828664
2025-09-02T00:00:00.000Z,0,1871.575667842742
2025-08-29T00:00:00.000Z,0,1859.6929931640625
2025-08-30T00:00:00.000Z,0,1880.842529296875
2025-08-28T00:00:00.000Z,0,
2025-08-31T00:00:00.000Z,0,
2025-09-01T00:00:00.000Z,0,
2025-11-30T00:00:00.000Z,0,
2025-11-26T00:00:00.000Z,0,
2025-11-25T00:00:00.000Z,0,
2025-11-28T00:00:00.000Z,0,
2025-11-29T00:00:00.000Z,0,
