date,SO2
2022-12-31,
2023-01-01,
2023-01-02,
2023-01-03,
2023-01-04,-0.000140025993459858
2023-01-05,2.7671419957187027e-05
2023-01-06,
2023-01-07,-0.00021101333550177517
2023-01-08,0.0004085874825250357
2023-01-09,
2023-01-10,
2023-01-11,0.000577470927964896
2023-01-12,
2023-01-13,
2023-01-14,
2023-01-15,-0.00025840799207799137
2023-01-16,4.284841998014599e-05
2023-01-17,
2023-01-18,-9.085416968446224e-05
2023-01-19,
2023-01-20,
2023-01-21,
2023-01-22,
2023-01-23,0.00010540320363361388
2023-01-24,0.00034695304930210114
2023-01-25,
2023-01-26,
2023-01-27,
2023-01-28,
2023-01-29,3.3842505217762664e-05
2023-01-30,
2023-01-31,0.00027002074057236314
2023-02-01,
2023-02-02,
2023-02-03,
2023-02-04,
2023-02-05,
2023-02-06,
2023-02-07,
2023-02-08,
2023-02-09,
2023-02-10,
2023-02-11,
2023-02-12,
2023-02-13,
2023-02-14,0.0005007549189031124
2023-02-15,
2023-02-16,
2023-02-17,
2023-02-18,
2023-02-19,-9.311354369856416e-05
2023-02-20,0.0001067550401785411
2023-02-21,-0.00013986878911964595
2023-02-22,
2023-02-23,
2023-02-24,-0.00021504359028767797
2023-02-25,
2023-02-26,
2023-02-27,
2023-02-28,
2023-03-01,
2023-03-02,
2023-03-03,
2023-03-04,
2023-03-05,
2023-03-06,0.00021673354785889387
2023-03-07,0.0005004085251130164
2023-03-08,-5.1434994929877575e-06
2023-03-09,
2023-03-10,
2023-03-11,3.5730376112041995e-05
2023-03-12,
2023-03-13,
2023-03-14,
2023-03-15,-0.00021175685105845327
2023-03-16,
2023-03-17,0.0002447711885906756
2023-03-18,0.0002525705785956234
2023-03-19,
2023-03-20,
2023-03-21,
2023-03-22,0.0001223980070790276
2023-03-23,
2023-03-24,4.2923835280817e-05
2023-03-25,
2023-03-26,
2023-03-27,
2023-03-28,
2023-03-29,
2023-03-30,
2023-03-31,
2023-04-01,
2023-04-02,
2023-04-03,0.00010939028288703412
2023-04-04,
2023-04-05,0.00012866876204498112
2023-04-06,
2023-04-07,0.00015360760153271258
2023-04-08,-9.13140902412124e-05
2023-04-09,-6.114476855145767e-05
2023-04-10,
2023-04-11,
2023-04-12,-0.00013546139234676957
2023-04-13,
2023-04-14,5.706555384676904e-06
2023-04-15,
2023-04-16,
2023-04-17,-1.929241307152552e-06
2023-04-18,0.0007041228236630559
2023-04-19,0.0001271592191187665
2023-04-20,
2023-04-21,
2023-04-22,-1.159728071797872e-05
2023-04-23,-6.800491246394813e-05
2023-04-24,0.0007386216311715543
2023-04-25,0.00016951002180576324
2023-04-26,8.687634544912726e-05
2023-04-27,-4.372240073280409e-05
2023-04-28,
2023-04-29,
2023-04-30,
2023-05-01,
2023-05-02,-0.00011418030044296756
2023-05-03,0.00020973551727365705
2023-05-04,0.0002537700638640672
2023-05-05,-0.0001993305049836636
2023-05-06,
2023-05-07,
2023-05-08,0.0002334427990717813
2023-05-09,
2023-05-10,
2023-05-11,
2023-05-12,0.00027227477403357625
2023-05-13,0.00019972915470134467
2023-05-14,0.0012986058136448
2023-05-15,0.00022421243193093687
2023-05-16,
2023-05-17,2.118071643053554e-05
2023-05-18,0.0002610119991004467
2023-05-19,0.0001767052453942597
2023-05-20,0.00017100955301430076
2023-05-21,0.00012644266826100647
2023-05-22,
2023-05-23,0.0003798764373641461
2023-05-24,0.0002568933414295316
2023-05-25,7.998919318197295e-05
2023-05-26,0.0008855712949298322
2023-05-27,-0.0003692061873152852
2023-05-28,0.0010688232723623
2023-05-29,
2023-05-30,0.0003777178644668311
2023-05-31,-5.672317274729721e-05
2023-06-01,0.00010864631622098386
2023-06-02,0.0022488308604806
2023-06-03,0.00020122010027989745
2023-06-04,0.0003826642350759357
2023-06-05,
2023-06-06,0.00033450842602178454
2023-06-07,
2023-06-08,-0.00012721923121716827
2023-06-09,0.00023909022274892777
2023-06-10,0.0006010325159877539
2023-06-11,-2.573912206571549e-05
2023-06-12,0.00033878584508784115
2023-06-13,0.00042812302126549184
2023-06-14,0.0001808795350370929
2023-06-15,6.592859426746145e-05
2023-06-16,8.20877103251405e-05
2023-06-17,-0.0001131868120864965
2023-06-18,0.001098986249417
2023-06-19,-6.162378849694505e-05
2023-06-20,0.0002963010338135064
2023-06-21,0.0001989004231290892
2023-06-22,-1.72065101651242e-05
2023-06-23,
2023-06-24,0.0004402560007292777
2023-06-25,0.00017282523913308978
2023-06-26,3.1360941648017615e-05
2023-06-27,-4.6344455768121406e-05
2023-06-28,1.3527422197512353e-05
2023-06-29,0.00019599642837420103
2023-06-30,0.0004346677742432803
2023-07-01,
2023-07-02,
2023-07-03,9.986346412915736e-05
2023-07-04,0.0003178378101438284
2023-07-05,
2023-07-06,0.0006352458149194717
2023-07-07,
2023-07-08,
2023-07-09,
2023-07-10,0.0004144279228057712
2023-07-11,0.0012884166790172
2023-07-12,0.0009783649584278464
2023-07-13,0.0007407249067910016
2023-07-14,0.0004440697084646672
2023-07-15,-0.0001761420717230067
2023-07-16,0.0005030225147493184
2023-07-17,0.0008217365830205381
2023-07-18,-0.0002095371601171792
2023-07-19,0.00020445599511731416
2023-07-20,0.0008531316416338086
2023-07-21,0.0003292632463853806
2023-07-22,0.0006364567088894546
2023-07-23,0.0003659271460492164
2023-07-24,0.0003400385903660208
2023-07-25,
2023-07-26,
2023-07-27,0.00015645766688976437
2023-07-28,0.00013439265603665262
2023-07-29,0.0003276975476182997
2023-07-30,0.0002484988945070654
2023-07-31,-0.000141331969643943
2023-08-01,5.9135669289389625e-05
2023-08-02,-1.95796001207782e-05
2023-08-03,0.00013186823343858123
2023-08-04,4.220960545353592e-05
2023-08-05,-0.0004968518624082208
2023-08-06,0.0001871386484708637
2023-08-07,-0.0004935755860060453
2023-08-08,3.2081729841593187e-06
2023-08-09,0.0002297141181770712
2023-08-10,
2023-08-11,0.0002189155202358961
2023-08-12,8.446388528682292e-05
2023-08-13,-0.0001023227596306242
2023-08-14,0.0001680979476077482
2023-08-15,-0.00024280390061903745
2023-08-16,-0.00017650022346060723
2023-08-17,-5.395002153818496e-05
2023-08-18,-0.0001243508158950135
2023-08-19,0.0006121728220023215
2023-08-20,0.00042154639959335327
2023-08-21,1.2590205187734682e-05
2023-08-22,-0.00013501248031388968
2023-08-23,7.012613059487194e-05
2023-08-24,-4.859185719396919e-05
2023-08-25,-0.00040112127317115664
2023-08-26,
2023-08-27,0.00014674586418550462
2023-08-28,0.0001643940049689263
2023-08-29,0.000888753856997937
2023-08-30,-0.00018745000124908984
2023-08-31,-0.0004062357184011489
2023-09-01,0.0008671219111420214
2023-09-02,0.0001073994062608108
2023-09-03,
2023-09-04,-3.7041307223262265e-05
2023-09-05,-0.0002650412207003683
2023-09-06,-0.00021751293388661
2023-09-07,5.7953053328674287e-05
2023-09-08,0.00013508368283510208
2023-09-09,0.00017277327424380928
2023-09-10,-0.0002121048019034788
2023-09-11,
2023-09-12,0.0002985306491609663
2023-09-13,0.0002943206927739084
2023-09-14,0.00022031956177670509
2023-09-15,-0.00018235469178762287
2023-09-16,0.000352669128915295
2023-09-17,
2023-09-18,0.0003440160944592208
2023-09-19,0.00017364912491757423
2023-09-20,0.00034739673719741404
2023-09-21,0.0004054132441524416
2023-09-22,-2.0811798151498809e-07
2023-09-23,0.0003593891742639244
2023-09-24,0.00042999698780477047
2023-09-25,0.0014703123597428
2023-09-26,0.00024528999347239733
2023-09-27,
2023-09-28,0.0011474986094981
2023-09-29,0.000782335177063942
2023-09-30,0.00040772586362436414
2023-10-01,0.0005712363054044545
2023-10-02,-0.0001906713587231934
2023-10-03,9.807018068386242e-05
2023-10-04,-9.876707918010652e-05
2023-10-05,0.0002396434429101646
2023-10-06,0.0007081640069372952
2023-10-07,-1.3968951861897947e-05
2023-10-08,-0.0012121775653213
2023-10-09,-0.00019832365796901288
2023-10-10,0.000333702249918133
2023-10-11,8.380849612876773e-05
2023-10-12,9.379037510370836e-05
2023-10-13,
2023-10-14,4.6700326493009925e-05
2023-10-15,0.0001760201994329691
2023-10-16,-3.4618326026247814e-05
2023-10-17,0.00019349997455719856
2023-10-18,0.0004244258161634207
2023-10-19,0.00019164766126777977
2023-10-20,-0.0002798125788103789
2023-10-21,0.00077674729982391
2023-10-22,0.000878426362760365
2023-10-23,0.00011205297778360546
2023-10-24,-0.00028850737726315856
2023-10-25,2.8541626306832768e-05
2023-10-26,0.0001550159067846835
2023-10-27,-2.079003206745256e-05
2023-10-28,7.504520181100816e-05
2023-10-29,
2023-10-30,0.0001910102437250316
2023-10-31,0.00015904278552625328
2023-11-01,-0.0002452718617860228
2023-11-02,-6.820786802563816e-05
2023-11-03,
2023-11-04,
2023-11-05,
2023-11-06,1.909080492623616e-05
2023-11-07,0.0002330778806935996
2023-11-08,-6.140110781416297e-05
2023-11-09,
2023-11-10,
2023-11-11,
2023-11-12,0.0001468573755118996
2023-11-13,-0.0007272140355780721
2023-11-14,
2023-11-15,
2023-11-16,
2023-11-17,
2023-11-18,0.0010194481583312
2023-11-19,0.0004961801460012794
2023-11-20,-4.820365575142205e-06
2023-11-21,-0.0001255380921065807
2023-11-22,0.0001751046220306307
2023-11-23,7.63668431318365e-05
2023-11-24,
2023-11-25,
2023-11-26,
2023-11-27,
2023-11-28,
2023-11-29,9.869409404927865e-05
2023-11-30,
2023-12-01,
2023-12-02,
2023-12-03,
2023-12-04,
2023-12-05,0.00011537377577042208
2023-12-06,
2023-12-07,0.0005258455057628453
2023-12-08,
2023-12-09,
2023-12-10,
2023-12-11,
2023-12-12,
2023-12-13,
2023-12-14,
2023-12-15,0.000357058976078406
2023-12-16,
2023-12-17,0.0002580886066425592
2023-12-18,
2023-12-19,0.0006252716411836445
2023-12-20,0.000335528573486954
2023-12-21,0.0006874850951135159
2023-12-22,0.0001267092302441597
2023-12-23,0.0002933745563495904
2023-12-24,-0.00020593222870957104
2023-12-25,
2023-12-26,0.0020430362783372
2023-12-27,5.285145016387105e-05
2023-12-28,0.00011189696670044214
2023-12-29,
2023-12-30,
