date,CO
2022-12-31,
2023-01-01,
2023-01-02,
2023-01-03,
2023-01-04,
2023-01-05,0.0288066286593675
2023-01-06,0.025501200929284
2023-01-07,0.0223100427538156
2023-01-08,
2023-01-09,0.0240144915878772
2023-01-10,0.0307295285165309
2023-01-11,0.0249317437410354
2023-01-12,0.0291289016604423
2023-01-13,0.0283235851675272
2023-01-14,0.0252012182027101
2023-01-15,
2023-01-16,0.0238901656121015
2023-01-17,
2023-01-18,
2023-01-19,
2023-01-20,0.0279946215450763
2023-01-21,
2023-01-22,
2023-01-23,0.0221865233033895
2023-01-24,
2023-01-25,
2023-01-26,
2023-01-27,
2023-01-28,
2023-01-29,
2023-01-30,
2023-01-31,
2023-02-01,
2023-02-02,0.029159041121602
2023-02-03,
2023-02-04,
2023-02-05,
2023-02-06,
2023-02-07,0.0243076104670763
2023-02-08,0.0253314711153507
2023-02-09,0.0317017771303653
2023-02-10,
2023-02-11,0.0300223603844642
2023-02-12,
2023-02-13,0.0268633030354976
2023-02-14,
2023-02-15,
2023-02-16,
2023-02-17,
2023-02-18,
2023-02-19,0.0260055568069219
2023-02-20,0.0270398631691932
2023-02-21,0.025679288432002
2023-02-22,0.0265082065016031
2023-02-23,
2023-02-24,
2023-02-25,0.0316261798143386
2023-02-26,
2023-02-27,
2023-02-28,
2023-03-01,0.031073672696948
2023-03-02,
2023-03-03,0.0285785868763923
2023-03-04,0.0325625948607921
2023-03-05,0.0296562425792217
2023-03-06,0.0303969550877809
2023-03-07,0.0307238921523094
2023-03-08,0.0285278391093015
2023-03-09,0.0284289233386516
2023-03-10,0.0310826040804386
2023-03-11,0.0354340150952339
2023-03-12,0.0404765717685222
2023-03-13,0.0331640020012855
2023-03-14,0.0312304273247718
2023-03-15,0.0363318063318729
2023-03-16,0.0387991443276405
2023-03-17,
2023-03-18,0.0303166415542364
2023-03-19,
2023-03-20,
2023-03-21,0.0289866477251052
2023-03-22,0.0282388553023338
2023-03-23,0.0293064154684543
2023-03-24,
2023-03-25,0.0279995519667863
2023-03-26,
2023-03-27,
2023-03-28,
2023-03-29,
2023-03-30,
2023-03-31,
2023-04-01,0.0342657305300235
2023-04-02,0.0303685404360294
2023-04-03,0.0265789255499839
2023-04-04,
2023-04-05,
2023-04-06,
2023-04-07,0.0305426940321922
2023-04-08,
2023-04-09,
2023-04-10,
2023-04-11,0.0237287413328886
2023-04-12,0.0220476686954498
2023-04-13,
2023-04-14,0.0302591193467378
2023-04-15,0.0269394293427467
2023-04-16,0.0289773289114236
2023-04-17,
2023-04-18,0.0269614774733781
2023-04-19,0.0292942505329847
2023-04-20,
2023-04-21,
2023-04-22,0.0235578641295433
2023-04-23,0.0251483991742134
2023-04-24,0.0268364232033491
2023-04-25,0.024916872382164
2023-04-26,0.0240269359201192
2023-04-27,0.0274913907051086
2023-04-28,
2023-04-29,
2023-04-30,
2023-05-01,
2023-05-02,
2023-05-03,0.0292411297559738
2023-05-04,0.0242277830839157
2023-05-05,
2023-05-06,
2023-05-07,
2023-05-08,
2023-05-09,
2023-05-10,
2023-05-11,
2023-05-12,0.0281848330050706
2023-05-13,0.0256321616470813
2023-05-14,0.0282488353550434
2023-05-15,0.0318523459136486
2023-05-16,0.0311013683676719
2023-05-17,0.0332688651978969
2023-05-18,0.0328222438693046
2023-05-19,0.0361157208681106
2023-05-20,0.029908774420619
2023-05-21,0.0275754928588867
2023-05-22,0.0298623032867908
2023-05-23,0.0280998665839433
2023-05-24,0.0321110337972641
2023-05-25,0.0355383530259132
2023-05-26,
2023-05-27,0.0360459424555301
2023-05-28,0.0321928225457668
2023-05-29,0.0275580286979675
2023-05-30,0.0291107427328825
2023-05-31,0.0318902023136615
2023-06-01,0.0323342978954315
2023-06-02,
2023-06-03,0.0336679480969905
2023-06-04,0.0335027948021888
2023-06-05,0.0315163545310497
2023-06-06,0.02881570905447
2023-06-07,0.0267306789755821
2023-06-08,0.0246758181601762
2023-06-09,0.0350733809173107
2023-06-10,0.0305152516812086
2023-06-11,0.0208704285323619
2023-06-12,
2023-06-13,0.0284699145704507
2023-06-14,0.0234307441860437
2023-06-15,
2023-06-16,0.0326035395264625
2023-06-17,0.030008440837264
2023-06-18,0.0293680019676685
2023-06-19,0.0322665013372898
2023-06-20,0.034507792443037
2023-06-21,0.029820017516613
2023-06-22,
2023-06-23,0.0274298600852489
2023-06-24,0.0286688320338726
2023-06-25,0.0359740890562534
2023-06-26,0.0367982164025306
2023-06-27,0.0313511975109577
2023-06-28,0.0318710543215274
2023-06-29,0.0307187996804714
2023-06-30,0.0309704337269067
2023-07-01,0.0278051868081092
2023-07-02,0.0266867112368345
2023-07-03,0.0361999869346618
2023-07-04,0.0361249819397926
2023-07-05,0.0347610935568809
2023-07-06,0.025787403807044
2023-07-07,
2023-07-08,
2023-07-09,0.0239839293062686
2023-07-10,0.0283846464008092
2023-07-11,0.0301253721117973
2023-07-12,0.0318931378424167
2023-07-13,
2023-07-14,0.0295689199119806
2023-07-15,0.0263488385826349
2023-07-16,0.0290981382131576
2023-07-17,0.0242120996117591
2023-07-18,0.0244809202849864
2023-07-19,0.0261996630579233
2023-07-20,0.034801498055458
2023-07-21,0.0361391194164752
2023-07-22,0.024813363328576
2023-07-23,
2023-07-24,0.0287556573748588
2023-07-25,0.0277280509471893
2023-07-26,0.0324366092681884
2023-07-27,0.0261586476117372
2023-07-28,0.0276067163795232
2023-07-29,0.0266755018383264
2023-07-30,0.0244867913424968
2023-07-31,0.0252006947994232
2023-08-01,0.0258175507187843
2023-08-02,0.023033095523715
2023-08-03,0.0264652650803327
2023-08-04,
2023-08-05,0.0287551376968622
2023-08-06,0.0268347412347793
2023-08-07,0.0259065348654985
2023-08-08,0.0256258472800254
2023-08-09,0.0274239666759967
2023-08-10,0.0275708492845296
2023-08-11,
2023-08-12,0.0287857092916965
2023-08-13,0.0266618411988019
2023-08-14,
2023-08-15,0.0346323512494564
2023-08-16,0.03225864097476
2023-08-17,0.0354669205844402
2023-08-18,0.0257171299308538
2023-08-19,0.0298496391624212
2023-08-20,0.0287261456251144
2023-08-21,0.0310355983674526
2023-08-22,0.0283807590603828
2023-08-23,
2023-08-24,0.0251376535743474
2023-08-25,0.0285481996834278
2023-08-26,0.0282513704150915
2023-08-27,0.0360985100269317
2023-08-28,0.0281842909753322
2023-08-29,0.0312531515955925
2023-08-30,0.0295048300176858
2023-08-31,
2023-09-01,0.0336792692542076
2023-09-02,0.0286236312240362
2023-09-03,0.028535321354866
2023-09-04,
2023-09-05,0.0330299772322177
2023-09-06,0.0344732142984867
2023-09-07,0.0416843295097351
2023-09-08,0.0443027839064598
2023-09-09,
2023-09-10,0.0310431532561779
2023-09-11,0.0239744912832975
2023-09-12,
2023-09-13,
2023-09-14,0.0346336588263511
2023-09-15,
2023-09-16,0.0291888006031513
2023-09-17,
2023-09-18,0.0400162190198898
2023-09-19,0.0398563705384731
2023-09-20,
2023-09-21,
2023-09-22,0.0378266684710979
2023-09-23,0.0294454861432313
2023-09-24,
2023-09-25,
2023-09-26,0.0321068800985813
2023-09-27,0.0319531001150608
2023-09-28,
2023-09-29,0.0360706858336925
2023-09-30,
2023-10-01,0.0399104803800582
2023-10-02,0.0401603132486343
2023-10-03,
2023-10-04,0.0295007787644863
2023-10-05,0.0297327525913715
2023-10-06,0.0318315513432025
2023-10-07,0.0418756455183029
2023-10-08,0.0363692231476306
2023-10-09,
2023-10-10,0.0431938953697681
2023-10-11,
2023-10-12,0.0363064259290695
2023-10-13,0.0385305359959602
2023-10-14,
2023-10-15,0.0362881645560264
2023-10-16,0.039222989231348
2023-10-17,0.0374210365116596
2023-10-18,0.0398569367825984
2023-10-19,
2023-10-20,0.0409773774445056
2023-10-21,0.0445780307054519
2023-10-22,0.0498305968940258
2023-10-23,0.050702404230833
2023-10-24,0.0523637272417545
2023-10-25,
2023-10-26,0.0505006127059459
2023-10-27,0.0446160919964313
2023-10-28,0.0480551421642303
2023-10-29,0.0453041940927505
2023-10-30,
2023-10-31,0.0440806001424789
2023-11-01,
2023-11-02,0.0357457213103771
2023-11-03,
2023-11-04,
2023-11-05,
2023-11-06,0.0386041328310966
2023-11-07,0.0439297556877136
2023-11-08,0.0494394153356552
2023-11-09,
2023-11-10,
2023-11-11,
2023-11-12,
2023-11-13,0.0375516228377819
2023-11-14,0.0396617278456687
2023-11-15,
2023-11-16,0.0406099595129489
2023-11-17,0.0398835428059101
2023-11-18,0.0414094999432563
2023-11-19,0.03996492177248
2023-11-20,0.0354355946183204
2023-11-21,0.0344956517219543
2023-11-22,0.0332486629486084
2023-11-23,0.0374016724526882
2023-11-24,
2023-11-25,
2023-11-26,0.0405922718346118
2023-11-27,
2023-11-28,
2023-11-29,0.0396801233291626
2023-11-30,0.0332560203969478
2023-12-01,
2023-12-02,
2023-12-03,
2023-12-04,
2023-12-05,0.0347600169479846
2023-12-06,
2023-12-07,0.0352384895086288
2023-12-08,0.0292309410870075
2023-12-09,0.0321167930960655
2023-12-10,
2023-12-11,0.0340220779180526
2023-12-12,0.0348170660436153
2023-12-13,0.0284045785665512
2023-12-14,
2023-12-15,0.0356011167168617
2023-12-16,0.0317960381507873
2023-12-17,0.0362499915063381
2023-12-18,0.0362000688910484
2023-12-19,0.0430998243391513
2023-12-20,0.0360306911170482
2023-12-21,
2023-12-22,0.0336975529789924
2023-12-23,0.0348937734961509
2023-12-24,0.0342164039611816
2023-12-25,
2023-12-26,
2023-12-27,
2023-12-28,
2023-12-29,0.0334121547639369
2023-12-30,0.0280347522348165
