date,O3
2022-12-31,
2023-01-01,0.1206768974661827
2023-01-02,0.1196808591485023
2023-01-03,0.1195759996771812
2023-01-04,0.1207057237625122
2023-01-05,0.119881585240364
2023-01-06,0.1197788417339325
2023-01-07,0.118720605969429
2023-01-08,0.1197286397218704
2023-01-09,0.1193290874361991
2023-01-10,0.120025910437107
2023-01-11,0.1213998794555664
2023-01-12,0.1195395365357399
2023-01-13,0.1200628355145454
2023-01-14,0.1190178543329238
2023-01-15,0.1178284287452697
2023-01-16,0.117924727499485
2023-01-17,0.1153625473380088
2023-01-18,0.1193240210413932
2023-01-19,0.1193560883402824
2023-01-20,0.1189491599798202
2023-01-21,0.1202372312545776
2023-01-22,0.1200418621301651
2023-01-23,0.116559699177742
2023-01-24,0.1186050698161125
2023-01-25,0.119759127497673
2023-01-26,0.1191455945372581
2023-01-27,0.1174854934215545
2023-01-28,0.1201941147446632
2023-01-29,0.1183129474520683
2023-01-30,0.117049254477024
2023-01-31,0.1173718273639679
2023-02-01,0.1165973097085952
2023-02-02,0.1152029111981391
2023-02-03,0.1191581264138221
2023-02-04,0.1179925426840782
2023-02-05,0.11797945946455
2023-02-06,0.1193509176373481
2023-02-07,0.1196116134524345
2023-02-08,0.1167209669947624
2023-02-09,0.1160041019320488
2023-02-10,0.119025319814682
2023-02-11,0.1168427839875221
2023-02-12,
2023-02-13,0.1167743802070617
2023-02-14,0.1177186146378517
2023-02-15,0.1206719130277633
2023-02-16,0.1174243465065956
2023-02-17,0.1168932616710662
2023-02-18,0.1158148273825645
2023-02-19,0.1162354350090026
2023-02-20,0.1158844977617263
2023-02-21,0.1153944060206413
2023-02-22,0.1158980578184127
2023-02-23,0.114966444671154
2023-02-24,0.1174381598830223
2023-02-25,0.1153746470808982
2023-02-26,0.1175227686762809
2023-02-27,0.1146586686372757
2023-02-28,0.1148473545908927
2023-03-01,0.1168273910880088
2023-03-02,0.1154916360974311
2023-03-03,0.1173863485455513
2023-03-04,0.1181467697024345
2023-03-05,0.1175867319107055
2023-03-06,0.1185281127691268
2023-03-07,0.1187418028712272
2023-03-08,0.1200176998972892
2023-03-09,0.1189929023385047
2023-03-10,0.1206369251012802
2023-03-11,0.1237286329269409
2023-03-12,0.1247577294707298
2023-03-13,0.1239848211407661
2023-03-14,0.1224885731935501
2023-03-15,0.1238365471363067
2023-03-16,0.1216443479061126
2023-03-17,0.1235679239034652
2023-03-18,0.1212834566831588
2023-03-19,0.1190734133124351
2023-03-20,0.1185208261013031
2023-03-21,0.118281751871109
2023-03-22,0.1177805736660957
2023-03-23,0.1194591596722602
2023-03-24,0.1182731091976165
2023-03-25,0.1182963922619819
2023-03-26,0.1203057393431663
2023-03-27,0.1203808784484863
2023-03-28,0.1210629418492317
2023-03-29,0.1212859377264976
2023-03-30,0.1213875412940979
2023-03-31,0.1228755563497543
2023-04-01,0.1218203455209732
2023-04-02,0.121435560286045
2023-04-03,0.1222555488348007
2023-04-04,0.1210714131593704
2023-04-05,0.1218830943107605
2023-04-06,0.1210087239742279
2023-04-07,0.1205493435263633
2023-04-08,0.1194277927279472
2023-04-09,0.1199502423405647
2023-04-10,0.1170564964413642
2023-04-11,0.116954855620861
2023-04-12,0.1178161352872848
2023-04-13,0.1190051063895225
2023-04-14,0.1191646754741668
2023-04-15,0.1199118047952652
2023-04-16,0.117566667497158
2023-04-17,0.1209961995482444
2023-04-18,0.1189781129360199
2023-04-19,0.1175068691372871
2023-04-20,0.1205064132809639
2023-04-21,0.1200334727764129
2023-04-22,0.1213248074054718
2023-04-23,0.1229949817061424
2023-04-24,0.1231078803539276
2023-04-25,0.1225169003009796
2023-04-26,0.121871642768383
2023-04-27,0.1236326470971107
2023-04-28,0.1225153356790542
2023-04-29,0.1210120171308517
2023-04-30,0.1192743405699729
2023-05-01,0.121959313750267
2023-05-02,0.1229204684495925
2023-05-03,0.1203207597136497
2023-05-04,0.120223231613636
2023-05-05,0.1175868287682533
2023-05-06,0.1187905669212341
2023-05-07,0.1193040013313293
2023-05-08,0.1175063028931617
2023-05-09,0.119944617152214
2023-05-10,0.1199853345751762
2023-05-11,0.1179310083389282
2023-05-12,0.1175747811794281
2023-05-13,0.1184930652379989
2023-05-14,0.116820253431797
2023-05-15,0.1171496361494064
2023-05-16,0.1166109964251518
2023-05-17,0.1170801147818565
2023-05-18,0.1196292787790298
2023-05-19,0.1199734658002853
2023-05-20,0.1186370104551315
2023-05-21,0.1190185546875
2023-05-22,0.1175404414534568
2023-05-23,0.1177006363868713
2023-05-24,0.1175438910722732
2023-05-25,0.1143655851483345
2023-05-26,0.1165425553917884
2023-05-27,0.1146395578980445
2023-05-28,0.1166468933224678
2023-05-29,0.1158072799444198
2023-05-30,0.116857998073101
2023-05-31,0.1135724410414695
2023-06-01,0.1162192225456237
2023-06-02,0.1153082102537155
2023-06-03,0.1207169815897941
2023-06-04,0.1184300780296325
2023-06-05,0.1178512722253799
2023-06-06,0.1183379516005516
2023-06-07,0.1182612180709838
2023-06-08,0.1175460070371627
2023-06-09,0.1176062226295471
2023-06-10,0.1142556071281433
2023-06-11,0.1146986559033393
2023-06-12,0.1130541339516639
2023-06-13,0.1120611056685447
2023-06-14,0.1153620779514312
2023-06-15,0.1158776059746742
2023-06-16,0.1158341839909553
2023-06-17,0.1174790635704994
2023-06-18,0.1152120307087898
2023-06-19,0.1145308092236518
2023-06-20,0.1146476864814758
2023-06-21,0.1102567762136459
2023-06-22,0.1158732697367668
2023-06-23,0.1162957847118377
2023-06-24,0.1174464225769043
2023-06-25,0.118263378739357
2023-06-26,0.1169773712754249
2023-06-27,0.1178922057151794
2023-06-28,0.1175631880760192
2023-06-29,0.1176948100328445
2023-06-30,0.1181908026337623
2023-07-01,0.1155944392085075
2023-07-02,0.1137386485934257
2023-07-03,0.1149020865559578
2023-07-04,0.1166761592030525
2023-07-05,0.1179346740245819
2023-07-06,0.1158320009708404
2023-07-07,0.113911248743534
2023-07-08,0.1118438839912414
2023-07-09,0.1126023530960083
2023-07-10,0.1112096980214119
2023-07-11,0.1125710159540176
2023-07-12,0.1100013926625251
2023-07-13,0.1087951511144638
2023-07-14,0.1110214665532112
2023-07-15,0.109450839459896
2023-07-16,0.1137660667300224
2023-07-17,0.1126598864793777
2023-07-18,0.1085248589515686
2023-07-19,0.1108529344201088
2023-07-20,0.1118011996150016
2023-07-21,0.1122010871767997
2023-07-22,0.11261797696352
2023-07-23,0.1096711754798889
2023-07-24,0.1123236343264579
2023-07-25,0.1137094944715499
2023-07-26,0.1128481552004814
2023-07-27,0.1162267997860908
2023-07-28,0.1149419248104095
2023-07-29,0.1141486763954162
2023-07-30,0.1125874370336532
2023-07-31,0.1134844273328781
2023-08-01,0.1151551157236099
2023-08-02,0.1131149977445602
2023-08-03,0.112356036901474
2023-08-04,0.1116066351532936
2023-08-05,0.114066258072853
2023-08-06,0.1138198301196098
2023-08-07,0.1128889918327331
2023-08-08,0.1159895360469818
2023-08-09,0.115639828145504
2023-08-10,0.1139767840504646
2023-08-11,0.115043893456459
2023-08-12,0.11372871696949
2023-08-13,0.1142476052045822
2023-08-14,0.1163482069969177
2023-08-15,0.1153707131743431
2023-08-16,0.1139453575015068
2023-08-17,0.1138858646154403
2023-08-18,0.1144850999116897
2023-08-19,0.1117990463972091
2023-08-20,0.1116427257657051
2023-08-21,0.1136730015277862
2023-08-22,0.1134063303470611
2023-08-23,0.1142360270023346
2023-08-24,0.1140857636928558
2023-08-25,0.1151808351278305
2023-08-26,0.1167663410305976
2023-08-27,0.1178104877471923
2023-08-28,0.1190891340374946
2023-08-29,0.1184964850544929
2023-08-30,0.1189960613846778
2023-08-31,0.1173235177993774
2023-09-01,0.1168190166354179
2023-09-02,0.1166299134492874
2023-09-03,
2023-09-04,0.11617062240839
2023-09-05,0.1172835081815719
2023-09-06,0.1163131967186927
2023-09-07,0.1175348311662674
2023-09-08,0.1200807988643646
2023-09-09,0.1166199818253517
2023-09-10,0.1162231713533401
2023-09-11,0.1169889271259307
2023-09-12,0.1168566569685936
2023-09-13,0.1160288825631141
2023-09-14,0.1159558072686195
2023-09-15,0.1182655319571495
2023-09-16,0.1183026209473609
2023-09-17,0.1175270453095436
2023-09-18,0.1182550862431526
2023-09-19,0.1187540888786315
2023-09-20,0.1171961724758148
2023-09-21,0.1173271387815475
2023-09-22,0.1161259263753891
2023-09-23,0.1149188503623008
2023-09-24,0.1181915402412414
2023-09-25,0.1177488043904304
2023-09-26,0.1199773475527763
2023-09-27,0.1204437166452407
2023-09-28,0.1199240535497665
2023-09-29,0.1200440526008606
2023-09-30,0.1204495057463646
2023-10-01,0.1178145259618759
2023-10-02,0.116670474410057
2023-10-03,0.1167798936367034
2023-10-04,0.1159249171614646
2023-10-05,0.1172736585140228
2023-10-06,0.1157531142234802
2023-10-07,0.1162409111857414
2023-10-08,0.1185394003987312
2023-10-09,0.1187276542186737
2023-10-10,0.1199568808078765
2023-10-11,0.1181556209921836
2023-10-12,0.1198427528142929
2023-10-13,0.120529681444168
2023-10-14,0.1206184700131416
2023-10-15,0.1174510568380355
2023-10-16,0.1169623062014579
2023-10-17,0.1215018630027771
2023-10-18,0.1199469864368438
2023-10-19,0.1193481981754303
2023-10-20,0.1194162964820861
2023-10-21,0.118554338812828
2023-10-22,0.1207529455423355
2023-10-23,0.1214124858379364
2023-10-24,0.1200855076313018
2023-10-25,0.1226216256618499
2023-10-26,0.1227950602769851
2023-10-27,0.118958979845047
2023-10-28,0.1242476627230644
2023-10-29,0.1279260963201522
2023-10-30,0.1244282349944114
2023-10-31,0.124834194779396
2023-11-01,0.1213492304086685
2023-11-02,0.1175990477204322
2023-11-03,0.1186785548925399
2023-11-04,0.1203127279877662
2023-11-05,0.1193618401885032
2023-11-06,0.1192992627620697
2023-11-07,0.1184291839599609
2023-11-08,0.1214897185564041
2023-11-09,0.1179406568408012
2023-11-10,0.118726447224617
2023-11-11,
2023-11-12,0.1209626570343971
2023-11-13,0.1199214234948158
2023-11-14,0.1176911741495132
2023-11-15,0.1169020906090736
2023-11-16,0.1207839399576187
2023-11-17,0.1222752481698989
2023-11-18,0.1196553334593772
2023-11-19,0.1179497390985488
2023-11-20,0.1182787269353866
2023-11-21,0.1211829036474227
2023-11-22,0.1199404597282409
2023-11-23,0.1206558346748352
2023-11-24,0.1177195906639099
2023-11-25,0.1184194460511207
2023-11-26,0.1199119016528129
2023-11-27,0.1189672797918319
2023-11-28,0.1186414584517479
2023-11-29,0.118673026561737
2023-11-30,0.1180847585201263
2023-12-01,0.1188378855586052
2023-12-02,0.1202231273055076
2023-12-03,0.1182543933391571
2023-12-04,0.1168833002448082
2023-12-05,0.1199101284146308
2023-12-06,0.1182195842266082
2023-12-07,0.115085668861866
2023-12-08,0.1150049120187759
2023-12-09,0.1161334887146949
2023-12-10,0.1199195235967636
2023-12-11,0.1198871433734893
2023-12-12,0.1191394552588462
2023-12-13,0.1183568611741066
2023-12-14,0.1180722638964653
2023-12-15,0.1144749894738197
2023-12-16,0.116451047360897
2023-12-17,0.1150431856513023
2023-12-18,0.1154559105634689
2023-12-19,0.1154993548989296
2023-12-20,0.1167809516191482
2023-12-21,0.1151993572711944
2023-12-22,0.1133620664477348
2023-12-23,0.1147039532661438
2023-12-24,0.1155611723661422
2023-12-25,0.1176277846097946
2023-12-26,0.1138597801327705
2023-12-27,0.1143813729286193
2023-12-28,0.1133149489760398
2023-12-29,
2023-12-30,0.1146595627069473
